"word","eng_level","count"
"the","A1",23135851162
"of","A1",13151942776
"and","A1",12997637966
"to","A1",12136980858
"a","A1",9081174698
"in","A2",8469404971
"in","A1",8469404971
"for","A2",5933321709
"for","A1",5933321709
"is","A1",4705743816
"on","A2",3750423199
"on","A1",3750423199
"that","B2",3400031103
"that","A1",3400031103
"by","A1",3350048871
"this","A1",3228469771
"with","A1",3183110675
"you","A1",2996181025
"it","A1",2813163874
"not","A1",2633487141
"or","A1",2590739907
"be","A1",2398724162
"are","A1",2393614870
"from","A1",2275595356
"at","A1",2272272772
"as","A2",2247431740
"as","A1",2247431740
"your","A1",2062066547
"all","A2",2022459848
"all","A1",2022459848
"have","A1",1564202750
"new","A1",1551258643
"more","B1",1544771673
"more","A1",1544771673
"an","A1",1518266684
"was","A1",1483428678
"we","A1",1390661912
"will","A1",1356293641
"will","B2",1356293641
"home","A2",1276852170
"home","A1",1276852170
"can","A1",1242323499
"can","A2",1242323499
"us","A1",1229112622
"about","A1",1226734006
"if","A1",1134987907
"page","A1",1082121730
"my","A1",1059793441
"has","A1",1046319984
"search","A2",1024093118
"search","B1",1024093118
"free","A1",1014107316
"free","A2",1014107316
"free","B2",1014107316
"but","A1",999899654
"but","B1",999899654
"our","A1",998757982
"one","A1",993536631
"one","A2",993536631
"other","A1",978481319
"other","A2",978481319
"do","A1",950751722
"no","A1",937112320
"information","A1",932594387
"time","A1",908705570
"time","B2",908705570
"they","A1",883223816
"site","A1",844310242
"he","A1",842847219
"up","A2",829969374
"up","A1",829969374
"may","A1",827822032
"what","A1",812395582
"which","A1",810514085
"their","A1",782849411
"news","A1",755424983
"out","A1",741601852
"use","A2",719980257
"use","A1",719980257
"any","A1",710741293
"there","A1",701170205
"see","A1",681410380
"only","A1",661844114
"so","A2",661809559
"so","A1",661809559
"his","A1",660177731
"when","A1",650621178
"contact","A2",645824184
"here","A1",639711198
"business","A1",637134177
"who","A1",630927278
"web","A2",619571575
"also","A1",616829742
"now","A1",611387736
"now","B2",611387736
"help","A2",611054034
"help","A1",611054034
"get","A1",605984508
"view","A2",602279334
"view","B1",602279334
"online","A2",601317059
"first","A1",578161543
"am","A1",576436203
"been","A2",575019382
"would","A1",572644147
"how","A1",571848080
"were","A1",570699558
"me","A1",566617666
"some","A1",548829454
"these","A1",541003982
"click","B1",536746424
"click","A2",536746424
"its","A1",525627757
"like","B1",520585287
"like","A1",520585287
"service","B1",519537222
"than","A1",502609275
"find","A1",502043038
"price","A1",501651226
"price","B2",501651226
"date","A1",488967374
"date","B1",488967374
"back","A2",488024109
"back","A1",488024109
"back","B1",488024109
"top","B1",484213771
"top","A1",484213771
"people","A1",480303376
"had","A1",480232730
"list","A1",472590641
"list","B2",472590641
"name","A1",464532702
"name","B1",464532702
"just","A1",462836169
"over","A2",459222855
"over","A1",459222855
"state","B2",453104133
"state","A2",453104133
"year","A1",451092583
"day","A1",446236148
"into","A1",445315294
"email","A2",443949646
"two","A1",441398439
"health","A1",440416431
"world","A1",431934249
"next","A2",425903347
"next","B2",425903347
"used","A2",421438139
"go","B1",421086358
"go","A1",421086358
"work","A1",419483948
"last","B1",417601616
"last","A2",417601616
"most","A2",416210411
"most","A1",416210411
"music","A1",414028837
"buy","A1",410780176
"data","B2",406908328
"make","B2",405084642
"make","A1",405084642
"them","A1",403000411
"should","A1",402028056
"product","A2",399116355
"system","A2",396975018
"post","A1",392956436
"post","A2",392956436
"her","A1",391961061
"city","A1",390564835
"add","A1",387231739
"policy","B1",384401868
"number","A1",383787805
"such","A2",380725892
"please","A1",380046348
"please","B1",380046348
"available","B1",379644437
"copyright","B1",373906735
"support","A2",373512569
"support","B1",373512569
"message","A1",373081242
"after","A2",372948094
"after","B1",372948094
"after","A1",372948094
"best","A1",371852748
"software","A2",370517038
"then","A1",369928941
"good","A1",365796396
"good","B2",365796396
"video","A1",365410017
"well","A1",362082755
"where","A1",360468339
"public","B1",349286123
"public","A2",349286123
"high","A1",345413157
"high","A2",345413157
"school","A1",343057316
"through","B1",342373303
"through","A1",342373303
"each","A1",340892856
"she","A1",339171382
"review","A1",339067778
"review","B2",339067778
"order","A1",336631187
"order","A2",336631187
"very","B2",334923368
"very","A1",334923368
"privacy","B1",333272427
"book","A1",330959949
"book","B1",330959949
"company","A2",324272258
"read","A1",322331766
"group","A1",321842984
"group","B1",321842984
"sex","B1",320105999
"need","A1",319376932
"need","B2",319376932
"need","A2",319376932
"many","A1",318966441
"user","B2",316446229
"does","A1",314018806
"set","A2",313469591
"set","A1",313469591
"under","A1",313296421
"general","B1",311757793
"research","A2",311538382
"research","B2",311538382
"university","A2",311373936
"mail","A1",310337185
"mail","B1",310337185
"full","A1",309929179
"map","A1",309676581
"life","A1",306559205
"know","A1",306100813
"way","A1",305515604
"management","B1",304201237
"part","A2",302729303
"part","B2",302729303
"could","A1",302311431
"great","A1",301487430
"united","B2",299280163
"hotel","A1",297974790
"real","A1",297674493
"item","A1",296534935
"international","A2",295639201
"must","A1",292774716
"store","A1",291308910
"store","B2",291308910
"travel","A2",287719294
"travel","A1",287719294
"development","B1",286291411
"report","A2",286237372
"report","B1",286237372
"off","A1",284035693
"off","A2",284035693
"off","B1",284035693
"member","A2",283858893
"line","A1",280009597
"line","B2",280009597
"before","A1",277546019
"before","A2",277546019
"did","A1",275369513
"send","A2",274103587
"right","A1",273620358
"right","A2",273620358
"type","A1",272336859
"type","B1",272336859
"because","A1",271323986
"local","A2",270742935
"those","A1",270014141
"office","A1",266789622
"education","A2",266738068
"national","A2",266376620
"car","A1",264720374
"design","A1",264448339
"design","B1",264448339
"take","B1",264349801
"take","A1",264349801
"address","A1",261872866
"address","B1",261872866
"community","B2",261839117
"within","A2",261390908
"area","A2",259871557
"want","B2",258690345
"want","A1",258690345
"phone","A1",256643812
"shipping","B2",256521328
"subject","A1",256217838
"between","A1",255436698
"family","A1",254164055
"long","A1",252519588
"long","A2",252519588
"code","A1",250245121
"show","A2",247541986
"show","A1",247541986
"even","B1",245697701
"even","A2",245697701
"black","A1",244690155
"check","A1",244491090
"check","A2",244491090
"special","A1",244311841
"website","A2",242876222
"index","B2",242826246
"being","A2",242783091
"much","A1",242326300
"sign","A1",242290578
"sign","B1",242290578
"file","A1",241864251
"file","B2",241864251
"link","B1",240402653
"open","A1",239670331
"today","A1",239271204
"technology","A1",238674296
"south","A2",238581133
"case","A1",235563000
"project","B2",235262594
"same","A1",234822585
"version","B2",232445953
"section","A1",232251956
"own","A1",232011723
"own","A2",232011723
"own","B1",232011723
"found","B2",232005894
"sports","B1",231864260
"house","A1",231310420
"house","C1",231310420
"related","B2",231127472
"security","B1",230014019
"both","A1",228648541
"county","B1",227567373
"photo","A1",227125249
"game","A1",227111505
"power","A2",226596368
"while","A2",226194991
"while","B1",226194991
"care","A1",225326739
"care","B1",225326739
"network","B1",225218991
"down","B2",224915894
"down","A1",224915894
"down","A2",224915894
"computer","A1",224177047
"three","A1",223417394
"total","B1",222649459
"place","A1",220970235
"place","B1",220970235
"end","A1",220812328
"end","A2",220812328
"following","A1",220709925
"following","B2",220709925
"download","B2",220626128
"download","A2",220626128
"him","A1",219516023
"without","A2",219190105
"per","B1",218945655
"access","B1",217986984
"access","B2",217986984
"think","A1",217856550
"north","A2",217809513
"current","B1",216987137
"big","A1",216690546
"media","B2",216432510
"law","A2",216122487
"control","A2",215560453
"control","B1",215560453
"water","A1",215178488
"water","B2",215178488
"history","A1",215000515
"size","A1",214844153
"art","A1",214702696
"personal","A1",214671907
"since","B2",214302926
"since","B1",214302926
"since","A2",214302926
"including","B1",214195457
"guide","B1",213378807
"shop","A1",212793848
"shop","B1",212793848
"board","A1",212361059
"board","B1",212361059
"location","B1",211243333
"change","A1",210601244
"white","A1",209863729
"text","A2",208780080
"small","A1",208371878
"rating","A2",207858692
"rate","A2",207634179
"rate","B2",207634179
"government","A2",206582673
"during","A2",206364495
"return","A2",205629763
"shopping","A1",204104275
"account","A2",203611349
"account","B1",203611349
"times","B2",202950880
"level","B1",202563642
"level","A2",202563642
"level","B2",202563642
"digital","B1",202346767
"profile","B2",201854745
"previous","B1",201692678
"form","A1",201395192
"form","B1",201395192
"love","A1",201063526
"old","A1",199694226
"main","B1",199616754
"call","A1",199608869
"call","A2",199608869
"image","A2",197874283
"department","B1",197293325
"title","A2",196676017
"description","A2",196301245
"insurance","B1",193271293
"another","A1",192535750
"another","A2",192535750
"why","A1",192000672
"shall","A2",191963867
"property","B1",191783393
"class","A1",191087771
